Text,Type,Score,File,Line Number
Chartists,ORGANIZATION,0.4921766221523285,Chapter5.txt,40
six changes,QUANTITY,0.9314409494400024,Chapter5.txt,41
1918,DATE,0.9091362953186035,Chapter5.txt,48
over 30,QUANTITY,0.908799946308136,Chapter5.txt,50
1928,DATE,0.9902601838111877,Chapter5.txt,50
over 21,QUANTITY,0.9174169301986694,Chapter5.txt,50
1969,DATE,0.9858653545379639,Chapter5.txt,51
18,QUANTITY,0.8436234593391418,Chapter5.txt,51
over hundreds of years,QUANTITY,0.8320004343986511,Chapter5.txt,62
single document,QUANTITY,0.6886084675788879,Chapter5.txt,63
House of Commons,ORGANIZATION,0.9686318039894104,Chapter5.txt,70
House of Lords,ORGANIZATION,0.9811989068984985,Chapter5.txt,70
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,72
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,78
National Anthem of the UK,ORGANIZATION,0.8309685587882996,Chapter5.txt,97
first verse,QUANTITY,0.8002416491508484,Chapter5.txt,99
God,PERSON,0.6402395963668823,Chapter5.txt,100
Queen,PERSON,0.63540118932724,Chapter5.txt,100
God,PERSON,0.7016858458518982,Chapter5.txt,102
God,PERSON,0.7016858458518982,Chapter5.txt,106
Almighty God,PERSON,0.9398340582847595,Chapter5.txt,110
Queen Elizabeth,PERSON,0.6353750824928284,Chapter5.txt,111
Second,QUANTITY,0.8551311492919922,Chapter5.txt,111
Majesty Queen Elizabeth the Second,PERSON,0.8227375149726868,Chapter5.txt,116
each constituency,QUANTITY,0.8583115935325623,Chapter5.txt,121
House of Commons,ORGANIZATION,0.9813855886459351,Chapter5.txt,123
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,125
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,131
one,QUANTITY,0.6598788499832153,Chapter5.txt,132
two parties,QUANTITY,0.9450276494026184,Chapter5.txt,133
House of Parliament,ORGANIZATION,0.9487427473068237,Chapter5.txt,136
one,QUANTITY,0.49618619680404663,Chapter5.txt,136
House of Commons,ORGANIZATION,0.9438897967338562,Chapter5.txt,138
House of Commons,ORGANIZATION,0.9539834260940552,Chapter5.txt,139
two,QUANTITY,0.9687512516975403,Chapter5.txt,139
House of Commons,ORGANIZATION,0.962336540222168,Chapter5.txt,142
MPs,ORGANIZATION,0.888161301612854,Chapter5.txt,142
Each MP,QUANTITY,0.8199701309204102,Chapter5.txt,142
House of Lords,ORGANIZATION,0.9124818444252014,Chapter5.txt,158
House of Lords,ORGANIZATION,0.9848872423171997,Chapter5.txt,159
House of Lords,ORGANIZATION,0.9038065671920776,Chapter5.txt,161
last 50 years,DATE,0.8884552717208862,Chapter5.txt,161
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,163
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,169
1958,DATE,0.9892992973327637,Chapter5.txt,170
Church of England,ORGANIZATION,0.952499270439148,Chapter5.txt,173
1958,DATE,0.9968355298042297,Chapter5.txt,174
1999,DATE,0.9930247068405151,Chapter5.txt,180
House of Lords,ORGANIZATION,0.8766118884086609,Chapter5.txt,181
House of Lords,ORGANIZATION,0.9028372168540955,Chapter5.txt,182
House of Lords,ORGANIZATION,0.932476818561554,Chapter5.txt,183
House of Commons,ORGANIZATION,0.9442747235298157,Chapter5.txt,184
House of Lords,ORGANIZATION,0.9625173211097717,Chapter5.txt,185
House of Commons,ORGANIZATION,0.9919182658195496,Chapter5.txt,186
House of Commons,ORGANIZATION,0.9374867677688599,Chapter5.txt,190
House of Lords,ORGANIZATION,0.9597719311714172,Chapter5.txt,190
House of Commons,ORGANIZATION,0.9706493020057678,Chapter5.txt,194
House of Commons,ORGANIZATION,0.9935551881790161,Chapter5.txt,195
every five years,QUANTITY,0.8400031924247742,Chapter5.txt,206
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,208
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,214
first,QUANTITY,0.48727330565452576,Chapter5.txt,217
each,QUANTITY,0.8225336074829102,Chapter5.txt,217
two parties,QUANTITY,0.9436986446380615,Chapter5.txt,221
European,LOCATION,0.37277910113334656,Chapter5.txt,223
European Parliament,ORGANIZATION,0.8615359663963318,Chapter5.txt,224
every five years,QUANTITY,0.8349887132644653,Chapter5.txt,224
European Parliament,ORGANIZATION,0.9442970752716064,Chapter5.txt,225
MEPs,ORGANIZATION,0.9886333346366882,Chapter5.txt,225
European Parliament,ORGANIZATION,0.8594001531600952,Chapter5.txt,226
each party,QUANTITY,0.7515914440155029,Chapter5.txt,227
www.parliament.uk,OTHER,0.9145810604095459,Chapter5.txt,233
Scottish Parliament,ORGANIZATION,0.8705883622169495,Chapter5.txt,234
MSPs,ORGANIZATION,0.9869351387023926,Chapter5.txt,234
MEPs,ORGANIZATION,0.9431437253952026,Chapter5.txt,234
BT,ORGANIZATION,0.9705432057380676,Chapter5.txt,235
House of Commons,ORGANIZATION,0.9548556208610535,Chapter5.txt,237
House of Commons,ORGANIZATION,0.9427841901779175,Chapter5.txt,237
Westminster,LOCATION,0.9911929965019226,Chapter5.txt,237
London,LOCATION,0.33723217248916626,Chapter5.txt,238
0207729 3000,OTHER,0.8141016364097595,Chapter5.txt,238
MSPs,ORGANIZATION,0.5486319661140442,Chapter5.txt,239
MEPs,ORGANIZATION,0.9411104917526245,Chapter5.txt,239
House of Commons,ORGANIZATION,0.9747135639190674,Chapter5.txt,247
House of Lords,ORGANIZATION,0.9702281355857849,Chapter5.txt,247
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,252
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,258
Prime Minister,PERSON,0.7167642116546631,Chapter5.txt,264
10 Downing Street,LOCATION,0.9292266964912415,Chapter5.txt,265
central London,LOCATION,0.8570526838302612,Chapter5.txt,265
Houses of Parliament,LOCATION,0.8482620716094971,Chapter5.txt,265
London,LOCATION,0.9887282848358154,Chapter5.txt,266
Chequers,LOCATION,0.9409026503562927,Chapter5.txt,266
about 20 senior MPs,QUANTITY,0.8087096810340881,Chapter5.txt,272
weekly,QUANTITY,0.5881252288818359,Chapter5.txt,280
Parliament,ORGANIZATION,0.6278927326202393,Chapter5.txt,282
Each department,QUANTITY,0.8464290499687195,Chapter5.txt,283
second-largest party,QUANTITY,0.8500354886054993,Chapter5.txt,288
House of Commons,ORGANIZATION,0.9747867584228516,Chapter5.txt,288
One important,QUANTITY,0.6961991190910339,Chapter5.txt,293
Prime Minister,PERSON,0.5317915081977844,Chapter5.txt,294
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,296
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,302
every week,QUANTITY,0.7156771421432495,Chapter5.txt,303
18,QUANTITY,0.8283345103263855,Chapter5.txt,309
one,QUANTITY,0.5282047986984253,Chapter5.txt,310
Conservative Party,ORGANIZATION,0.9253904223442078,Chapter5.txt,311
Labour Party,ORGANIZATION,0.976455807685852,Chapter5.txt,311
Liberal Democrats,ORGANIZATION,0.884788453578949,Chapter5.txt,312
one,QUANTITY,0.4799456000328064,Chapter5.txt,312
Scottish,LOCATION,0.5006811618804932,Chapter5.txt,312
Welsh,LOCATION,0.8935134410858154,Chapter5.txt,312
Northern Irish,LOCATION,0.6069163680076599,Chapter5.txt,313
CBI,ORGANIZATION,0.8496549129486084,Chapter5.txt,323
Confederation of British,ORGANIZATION,0.8628302216529846,Chapter5.txt,323
both,QUANTITY,0.853011429309845,Chapter5.txt,340
single,QUANTITY,0.3918224275112152,Chapter5.txt,342
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,345
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,351
London,LOCATION,0.902418315410614,Chapter5.txt,356
33 local authorities,QUANTITY,0.9430100321769714,Chapter5.txt,356
Greater London,LOCATION,0.7925058603286743,Chapter5.txt,356
London,LOCATION,0.973558247089386,Chapter5.txt,357
May,DATE,0.8961349129676819,Chapter5.txt,358
1997,DATE,0.9960014224052429,Chapter5.txt,363
Wales,LOCATION,0.8772809505462646,Chapter5.txt,364
Scotland,LOCATION,0.9996634721755981,Chapter5.txt,364
Northern Ireland,LOCATION,0.988264262676239,Chapter5.txt,364
Welsh,OTHER,0.23199838399887085,Chapter5.txt,365
Scottish Parliament,ORGANIZATION,0.7091910243034363,Chapter5.txt,366
1999,DATE,0.9977357387542725,Chapter5.txt,366
Northern Ireland Assembly,ORGANIZATION,0.77372807264328,Chapter5.txt,366
each,QUANTITY,0.7734577655792236,Chapter5.txt,372
Welsh government,ORGANIZATION,0.6385474801063538,Chapter5.txt,373
Welsh government,ORGANIZATION,0.707086980342865,Chapter5.txt,374
National Assembly,ORGANIZATION,0.7300262451171875,Chapter5.txt,374
Wales,LOCATION,0.9543806314468384,Chapter5.txt,374
Cardiff,LOCATION,0.9375917315483093,Chapter5.txt,374
Wales,LOCATION,0.998570442199707,Chapter5.txt,375
National Assembly,ORGANIZATION,0.8609395623207092,Chapter5.txt,375
60 Assembly members,QUANTITY,0.8986607193946838,Chapter5.txt,375
four years,QUANTITY,0.9567092061042786,Chapter5.txt,376
Welsh,OTHER,0.8340145945549011,Chapter5.txt,377
English,OTHER,0.9992213249206543,Chapter5.txt,377
both languages,QUANTITY,0.757187008857727,Chapter5.txt,378
Wales,LOCATION,0.9016974568367004,Chapter5.txt,379
20 areas,QUANTITY,0.9664808511734009,Chapter5.txt,379
2011,DATE,0.9969983100891113,Chapter5.txt,384
National Assembly for Wales,ORGANIZATION,0.9289389252662659,Chapter5.txt,384
UK Parliament,ORGANIZATION,0.7302339673042297,Chapter5.txt,385
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,388
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,394
Welsh Assembly,ORGANIZATION,0.6324279308319092,Chapter5.txt,396
March 2006,DATE,0.9989120960235596,Chapter5.txt,396
Scottish Parliament,ORGANIZATION,0.6554551720619202,Chapter5.txt,398
Scottish Parliament,ORGANIZATION,0.8680377006530762,Chapter5.txt,399
1999,DATE,0.9979681372642517,Chapter5.txt,399
Edinburgh,LOCATION,0.9956193566322327,Chapter5.txt,399
Scotland,LOCATION,0.9986133575439453,Chapter5.txt,400
129 members,QUANTITY,0.9759595394134521,Chapter5.txt,401
Scottish Parliament,ORGANIZATION,0.8836756944656372,Chapter5.txt,401
MSPs,ORGANIZATION,0.9918000102043152,Chapter5.txt,401
Scottish Parliament,ORGANIZATION,0.7885523438453674,Chapter5.txt,403
Scotland,LOCATION,0.8600775599479675,Chapter5.txt,404
Scottish Parliament,ORGANIZATION,0.7370197176933289,Chapter5.txt,405
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,414
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,420
Scottish Parliament,ORGANIZATION,0.7632333040237427,Chapter5.txt,422
October 2004,DATE,0.9990341067314148,Chapter5.txt,422
Northern Ireland Assembly,ORGANIZATION,0.8627614974975586,Chapter5.txt,424
Northern Ireland Parliament,ORGANIZATION,0.9123233556747437,Chapter5.txt,425
1922,DATE,0.9987504482269287,Chapter5.txt,425
Ireland,LOCATION,0.712350606918335,Chapter5.txt,425
1972,DATE,0.9996621608734131,Chapter5.txt,426
1969,DATE,0.9086674451828003,Chapter5.txt,427
page 55,OTHER,0.7605955600738525,Chapter5.txt,427
Northern Ireland Assembly,ORGANIZATION,0.8865936398506165,Chapter5.txt,428
Belfast,LOCATION,0.726729154586792,Chapter5.txt,428
1998,DATE,0.9969772100448608,Chapter5.txt,429
108 elected members,QUANTITY,0.9300270080566406,Chapter5.txt,431
MLAs,ORGANIZATION,0.27608028054237366,Chapter5.txt,431
Northern Ireland Assembly,ORGANIZATION,0.9005274772644043,Chapter5.txt,435
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,442
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,448
Northern Ireland,LOCATION,0.9959911704063416,Chapter5.txt,450
2007,DATE,0.9979043006896973,Chapter5.txt,452
Northern Ireland Assembly,ORGANIZATION,0.8904733061790466,Chapter5.txt,454
Stormont,LOCATION,0.4829876720905304,Chapter5.txt,454
Hansard,PERSON,0.8183447122573853,Chapter5.txt,458
www.parliament.uk,OTHER,0.7343590259552002,Chapter5.txt,459
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,470
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,476
Wales,LOCATION,0.9402696490287781,Chapter5.txt,484
Scotland,LOCATION,0.9992426633834839,Chapter5.txt,484
Northern,LOCATION,0.9008675217628479,Chapter5.txt,484
Ireland,LOCATION,0.5992476344108582,Chapter5.txt,485
18,QUANTITY,0.981672465801239,Chapter5.txt,491
1969,DATE,0.9966117739677429,Chapter5.txt,491
EU,ORGANIZATION,0.7656658887863159,Chapter5.txt,495
European,OTHER,0.5775681734085083,Chapter5.txt,499
Scotland,LOCATION,0.8695352077484131,Chapter5.txt,509
www.aboutmyvote.co.uk,OTHER,0.9912223815917969,Chapter5.txt,510
English,OTHER,0.927459716796875,Chapter5.txt,512
Welsh,OTHER,0.9457542896270752,Chapter5.txt,512
September,DATE,0.9792084097862244,Chapter5.txt,513
October,DATE,0.9975863695144653,Chapter5.txt,513
Northern Ireland,LOCATION,0.9802100658416748,Chapter5.txt,517
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,520
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,526
Electoral Office,ORGANIZATION,0.8416393995285034,Chapter5.txt,528
Northern Ireland,LOCATION,0.8863982558250427,Chapter5.txt,529
www.eoni.org.uk,OTHER,0.9969758987426758,Chapter5.txt,529
each local authority,QUANTITY,0.7369168996810913,Chapter5.txt,530
each local electoral registration office,QUANTITY,0.8093953132629395,Chapter5.txt,532
England,LOCATION,0.9908173084259033,Chapter5.txt,532
Wales,LOCATION,0.7747528553009033,Chapter5.txt,533
Scotland,LOCATION,0.9315696954727173,Chapter5.txt,538
7.00 am,DATE,0.9987298250198364,Chapter5.txt,540
10.00 pm,DATE,0.9976081252098083,Chapter5.txt,541
Northern Ireland,LOCATION,0.9884340167045593,Chapter5.txt,543
House of Lords,ORGANIZATION,0.9908126592636108,Chapter5.txt,560
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,564
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,570
Palace of Westminster,LOCATION,0.9398247003555298,Chapter5.txt,574
both,QUANTITY,0.9055498242378235,Chapter5.txt,575
House of Commons,ORGANIZATION,0.977185845375061,Chapter5.txt,575
House of Lords,ORGANIZATION,0.9962907433509827,Chapter5.txt,575
House of Commons,ORGANIZATION,0.9819242358207703,Chapter5.txt,578
one,QUANTITY,0.9714779257774353,Chapter5.txt,579
two hours,QUANTITY,0.9895981550216675,Chapter5.txt,579
House of Lords,ORGANIZATION,0.9601544737815857,Chapter5.txt,579
www.parliament.uk,OTHER,0.9405920505523682,Chapter5.txt,581
Northern Ireland Assembly,ORGANIZATION,0.832270622253418,Chapter5.txt,597
Northern Ireland,LOCATION,0.9275158047676086,Chapter5.txt,598
Ireland Assembly,ORGANIZATION,0.7040974497795105,Chapter5.txt,599
Stormont,LOCATION,0.6946179866790771,Chapter5.txt,599
Belfast,LOCATION,0.9967172741889954,Chapter5.txt,599
two ways,QUANTITY,0.925063967704773,Chapter5.txt,600
Stormont,LOCATION,0.9717641472816467,Chapter5.txt,600
Northern Ireland Assembly,ORGANIZATION,0.7490541338920593,Chapter5.txt,601
www.niassembly.gov.uk,OTHER,0.9884540438652039,Chapter5.txt,602
Scottish Parliament,ORGANIZATION,0.6182678937911987,Chapter5.txt,603
Scotland,LOCATION,0.9867379069328308,Chapter5.txt,604
Scottish,LOCATION,0.512161374092102,Chapter5.txt,604
Holyrood,LOCATION,0.9493005275726318,Chapter5.txt,605
Edinburgh,LOCATION,0.999850869178772,Chapter5.txt,605
www.scottish.parliament.uk,OTHER,0.936162531375885,Chapter5.txt,606
Scottish Parliament,LOCATION,0.6583905816078186,Chapter5.txt,608
Edinburgh,LOCATION,0.8574236631393433,Chapter5.txt,608
EH99,LOCATION,0.6973028779029846,Chapter5.txt,608
1SP,QUANTITY,0.6235740780830383,Chapter5.txt,609
0131 348 5200,OTHER,0.9801943302154541,Chapter5.txt,609
0800 092 7600,OTHER,0.9764407873153687,Chapter5.txt,609
sp.bookings@scottish.parliament.uk,OTHER,0.9984521269798279,Chapter5.txt,610
National Assembly for Wales,ORGANIZATION,0.8199242949485779,Chapter5.txt,611
Wales,LOCATION,0.9385920166969299,Chapter5.txt,612
Welsh,OTHER,0.30258050560951233,Chapter5.txt,612
Senedd,LOCATION,0.612636923789978,Chapter5.txt,613
Cardiff Bay,LOCATION,0.9936339855194092,Chapter5.txt,613
www.wales.gov.uk,OTHER,0.9837136268615723,Chapter5.txt,613
Welsh Assembly,ORGANIZATION,0.5316856503486633,Chapter5.txt,615
0845,OTHER,0.8179668188095093,Chapter5.txt,620
010,QUANTITY,0.4111231565475464,Chapter5.txt,621
5500,QUANTITY,0.4201337397098541,Chapter5.txt,622
@assembly.wales,PERSON,0.7620717287063599,Chapter5.txt,625
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,628
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,634
Council of Europe,ORGANIZATION,0.8878083825111389,Chapter5.txt,636
Council of Europe,ORGANIZATION,0.8930683732032776,Chapter5.txt,637
EU,ORGANIZATION,0.6329126358032227,Chapter5.txt,637
47 member,QUANTITY,0.7740163207054138,Chapter5.txt,637
European,LOCATION,0.500874400138855,Chapter5.txt,640
Convention on Human Rights and Fundamental Freedoms,ORGANIZATION,0.9150087237358093,Chapter5.txt,641
European Convention on Human Rights,EVENT,0.9449076056480408,Chapter5.txt,642
United Nations,ORGANIZATION,0.9259291887283325,Chapter5.txt,644
more than 190 countries,QUANTITY,0.9409897327423096,Chapter5.txt,646
UN,ORGANIZATION,0.8994921445846558,Chapter5.txt,647
Second World War,EVENT,0.9997232556343079,Chapter5.txt,647
15 members,QUANTITY,0.9900107979774475,Chapter5.txt,648
UN,ORGANIZATION,0.5141592621803284,Chapter5.txt,648
North Atlantic Treaty Organization,ORGANIZATION,0.9784170985221863,Chapter5.txt,653
NATO,ORGANIZATION,0.9971153736114502,Chapter5.txt,653
American,OTHER,0.5383602380752563,Chapter5.txt,655
Commonwealth,ORGANIZATION,0.7738730311393738,Chapter5.txt,659
One,QUANTITY,0.5968749523162842,Chapter5.txt,663
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,670
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,676
both,QUANTITY,0.7334976196289062,Chapter5.txt,680
age of 18,QUANTITY,0.8143887519836426,Chapter5.txt,700
18,QUANTITY,0.9045907855033875,Chapter5.txt,705
18,QUANTITY,0.9969248175621033,Chapter5.txt,705
one exception,QUANTITY,0.8179504871368408,Chapter5.txt,706
aged 16,QUANTITY,0.7643766403198242,Chapter5.txt,706
page 106,OTHER,0.7334358096122742,Chapter5.txt,707
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,712
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,718
November 2012,DATE,0.996186375617981,Chapter5.txt,738
England,LOCATION,0.9835180044174194,Chapter5.txt,739
Wales,LOCATION,0.9975200295448303,Chapter5.txt,739
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,754
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,760
England,LOCATION,0.9900711178779602,Chapter5.txt,772
Wales,LOCATION,0.9968595504760742,Chapter5.txt,772
Scotland,LOCATION,0.9672670364379883,Chapter5.txt,773
Northern Ireland,LOCATION,0.9679960012435913,Chapter5.txt,773
Al Qa,PERSON,0.6106563210487366,Chapter5.txt,777
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,779
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,785
Northern Ireland,LOCATION,0.8926886320114136,Chapter5.txt,786
each,QUANTITY,0.7569379210472107,Chapter5.txt,799
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,817
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,823
England,LOCATION,0.9918328523635864,Chapter5.txt,826
Wales,LOCATION,0.9965896606445312,Chapter5.txt,826
Scotland,LOCATION,0.9760812520980835,Chapter5.txt,827
Northern Ireland,LOCATION,0.9943431615829468,Chapter5.txt,827
Peace Courts,ORGANIZATION,0.7074286937713623,Chapter5.txt,828
England,LOCATION,0.9596887826919556,Chapter5.txt,829
Wales,LOCATION,0.9981797933578491,Chapter5.txt,829
Northern Ireland,LOCATION,0.997424840927124,Chapter5.txt,829
Scotland,LOCATION,0.996749997138977,Chapter5.txt,830
Justice of the Peace Court,TITLE,0.8370169997215271,Chapter5.txt,831
England,LOCATION,0.964630126953125,Chapter5.txt,833
Wales,LOCATION,0.9974451065063477,Chapter5.txt,833
Scotland,LOCATION,0.9988304972648621,Chapter5.txt,833
each case,QUANTITY,0.8633130192756653,Chapter5.txt,835
Northern Ireland,LOCATION,0.9870095252990723,Chapter5.txt,837
Deputy District Judge,PERSON,0.7859197854995728,Chapter5.txt,838
Crown Courts,ORGANIZATION,0.6514281034469604,Chapter5.txt,839
Sheriff Courts,ORGANIZATION,0.9073011875152588,Chapter5.txt,839
England,LOCATION,0.9596887826919556,Chapter5.txt,840
Wales,LOCATION,0.9981797933578491,Chapter5.txt,840
Northern Ireland,LOCATION,0.9974592328071594,Chapter5.txt,840
Scotland,LOCATION,0.9973189234733582,Chapter5.txt,841
Scotland,LOCATION,0.9986489415168762,Chapter5.txt,843
page 134,OTHER,0.7055192589759827,Chapter5.txt,845
England,LOCATION,0.9550899863243103,Chapter5.txt,845
Wales,LOCATION,0.9974542260169983,Chapter5.txt,845
Northern,LOCATION,0.9237571358680725,Chapter5.txt,845
Ireland,LOCATION,0.475143164396286,Chapter5.txt,846
12 members,QUANTITY,0.9887722134590149,Chapter5.txt,846
Scotland,LOCATION,0.9956055283546448,Chapter5.txt,846
15 members,QUANTITY,0.9849629402160645,Chapter5.txt,846
Scotland,LOCATION,0.996771514415741,Chapter5.txt,851
third verdict,QUANTITY,0.7108420729637146,Chapter5.txt,852
England,LOCATION,0.9596887826919556,Chapter5.txt,855
Wales,LOCATION,0.9981797933578491,Chapter5.txt,855
Northern Ireland,LOCATION,0.9975453019142151,Chapter5.txt,855
aged 10,QUANTITY,0.7937555313110352,Chapter5.txt,855
17,QUANTITY,0.8387399315834045,Chapter5.txt,856
up to three,QUANTITY,0.8387270569801331,Chapter5.txt,856
Crown Court,ORGANIZATION,0.7147297859191895,Chapter5.txt,858
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,864
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,870
Scotland,LOCATION,0.9894905686378479,Chapter5.txt,871
Children’s Hearings System,TITLE,0.8400513529777527,Chapter5.txt,871
Northern Ireland,LOCATION,0.7267383933067322,Chapter5.txt,873
Old Bailey,ORGANIZATION,0.664182722568512,Chapter5.txt,876
County Courts,ORGANIZATION,0.7402562499046326,Chapter5.txt,880
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,883
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,889
Scotland,LOCATION,0.9959836006164551,Chapter5.txt,890
Sheriff Court,ORGANIZATION,0.7506207227706909,Chapter5.txt,891
England,LOCATION,0.9258512854576111,Chapter5.txt,893
Wales,LOCATION,0.9985711574554443,Chapter5.txt,893
Northern Ireland,LOCATION,0.9964223504066467,Chapter5.txt,893
